                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5582,                 7.8363,                 2.6825,                 1.4675,                0.01333,                    0.8,                0.06135,                0.01462,                      0,                      0,                      0,                      0,                 2.5171,                 5.1759,                 3.0023,                 2.2254,                      0,                      0,                      0
                      2,                 2.1765,                 7.1636,                 2.9761,                 1.9464,                0.01333,                    0.8,                0.08015,                0.01716,                      0,                      0,                      0,                      0,                  2.537,                 5.1761,                 3.0077,                 2.2495,             1.9868e-05,             1.9868e-05,             1.9868e-05
                      3,                 1.2727,                 7.2081,                 2.7552,                 1.3814,                0.01333,                    0.8,                0.08672,                0.01703,                      0,                      0,                      0,                      0,                 2.6038,                 5.1762,                 3.0148,                 2.2765,             3.9472e-05,             3.9472e-05,             3.9472e-05
                      4,                 1.6612,                 7.6099,                 2.8231,                 1.5246,                0.01333,                    0.8,                0.07957,                 0.0169,                      0,                      0,                      0,                      0,                 2.6208,                 5.1764,                 3.0116,                 2.2934,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      5,                 1.4302,                 7.4131,                 2.7616,                  1.405,                0.01333,                    0.8,                0.16859,                0.06969,                      0,                      0,                      0,                      0,                 1.9132,                 5.1761,                 2.8833,                 1.8152,             7.7888e-05,             7.7888e-05,             7.7888e-05
                      6,                  2.099,                 7.0195,                 2.9159,                 1.7293,                0.01333,                    0.8,                0.22021,                0.12446,                      0,                      0,                      0,                      0,                 1.7718,                 5.1762,                 2.8481,                 1.6701,               9.67e-05,               9.67e-05,               9.67e-05
                      7,                 1.4433,                 6.2778,                 2.6604,                 1.4276,                0.01333,                    0.8,                 0.3864,                0.21814,                0.00333,                    0.2,                0.00232,                0.00123,                  1.529,                 5.1774,                 2.7123,                 1.5469,             0.00011525,             0.00011525,             0.00011525
                      8,                  1.576,                  6.164,                 2.7207,                 1.5628,                0.01333,                    0.8,                 0.4714,                0.29676,                0.00333,                    0.2,                0.00234,                0.00117,                 1.3388,                 5.1765,                 2.6865,                 1.3419,             0.00013353,             0.00013353,             0.00013353
                      9,                  1.422,                 5.6822,                 2.4513,                 1.4313,                0.01333,                    0.8,                0.52973,                0.42222,                0.00333,                    0.2,                 0.0025,                 0.0015,                 1.0782,                 5.1757,                  2.679,                 1.2074,             0.00015155,             0.00015155,             0.00015155
                     10,                 1.2276,                 5.3541,                 2.3017,                 1.3884,                0.01333,                    0.8,                0.56307,                0.43429,                0.00333,                    0.2,                0.00255,                0.00153,                 1.0344,                  5.175,                 2.6361,                 1.1508,             0.00016931,             0.00016931,             0.00016931
                     11,                  1.179,                 5.1399,                 2.3213,                  1.332,                0.01333,                    0.8,                 0.6964,                 0.4926,                0.00333,                    0.2,                 0.0025,                 0.0015,                 1.0085,                 5.1744,                 2.5559,                 1.0835,              0.0001868,              0.0001868,              0.0001868
                     12,                 1.2518,                 5.0689,                 2.1434,                 1.2931,                0.01667,                      1,                0.71286,                0.44686,                0.00333,                    0.2,                0.00249,                0.00149,                0.97912,                 5.1714,                 2.4958,                 1.1208,             0.00020403,             0.00020403,             0.00020403
                     13,                 1.1328,                 4.8879,                 2.0098,                 1.2897,                0.01667,                      1,                0.58333,                0.48023,                0.00667,                    0.4,                0.06943,                 0.0082,                0.93849,                 5.1668,                 2.4192,                 1.0926,             0.00022099,             0.00022099,             0.00022099
                     14,                 1.0718,                 4.7026,                 1.8845,                 1.1532,                0.01667,                      1,                 0.6791,                0.56437,                   0.01,                    0.6,                0.29955,                0.04459,                0.95521,                 5.1599,                 2.3251,                 1.0902,             0.00023769,             0.00023769,             0.00023769
                     15,                 1.1088,                 4.3717,                  1.774,                 1.2586,                0.01667,                      1,                0.71898,                0.57973,                   0.01,                    0.6,                0.27455,                0.04855,                0.98018,                   5.15,                 2.3115,                  1.118,             0.00025413,             0.00025413,             0.00025413
                     16,                 1.0368,                 4.2122,                 1.5764,                 1.1368,                0.16959,                    0.8,                0.73374,                0.60006,                0.10647,                    0.6,                0.36538,                0.12366,                0.98366,                 5.1335,                 2.2683,                 1.1218,              0.0002703,              0.0002703,              0.0002703
                     17,                 1.2011,                  3.984,                 1.9138,                 1.2996,                0.28443,                    0.8,                 0.7336,                0.59773,                0.28443,                    0.8,                0.72973,                0.26608,                0.96696,                 5.1153,                 2.2293,                 1.1922,             0.00028621,             0.00028621,             0.00028621
                     18,                0.97689,                 3.7127,                 1.3463,                 1.1159,                0.28443,                    0.8,                 0.7336,                0.59773,                0.28443,                    0.8,                0.72973,                0.26608,                0.96696,                 5.1153,                 2.2293,                 1.1922,             0.00030185,             0.00030185,             0.00030185
                     19,                0.87251,                  3.274,                 1.3496,                 1.1039,                0.09894,                    0.8,                 0.7964,                0.60552,                0.09894,                    0.8,                 0.7964,                0.32688,                0.94156,                 5.0859,                 2.2694,                 1.1887,             0.00031723,             0.00031723,             0.00031723
                     20,                  1.062,                 3.5961,                 1.3308,                 1.1331,                0.09894,                    0.8,                 0.7964,                0.60552,                0.09894,                    0.8,                 0.7964,                0.32688,                0.94156,                 5.0859,                 2.2694,                 1.1887,             0.00033235,             0.00033235,             0.00033235
                     21,                0.95535,                 3.2331,                 1.2315,                 1.1121,                0.02882,                    0.8,                 0.7964,                0.62444,                0.02882,                    0.8,                 0.7964,                0.34747,                0.95969,                   5.04,                 2.2734,                 1.2026,              0.0003472,              0.0003472,              0.0003472
                     22,                 1.0059,                 3.1982,                 1.2522,                 1.0963,                0.02882,                    0.8,                 0.7964,                0.62444,                0.02882,                    0.8,                 0.7964,                0.34747,                0.95969,                   5.04,                 2.2734,                 1.2026,             0.00036179,             0.00036179,             0.00036179
                     23,                 1.0397,                 3.0626,                 1.2816,                 1.1679,                0.10899,                    0.8,                 0.7964,                0.62009,                0.10899,                    0.8,                 0.7964,                0.31573,                0.99848,                 4.9835,                 2.2654,                 1.2145,             0.00037611,             0.00037611,             0.00037611
                     24,                 1.2162,                 3.3688,                 1.3285,                 1.1767,                0.10899,                    0.8,                 0.7964,                0.62009,                0.10899,                    0.8,                 0.7964,                0.31573,                0.99848,                 4.9835,                 2.2654,                 1.2145,             0.00039017,             0.00039017,             0.00039017
                     25,                 1.0354,                 2.8581,                 1.4471,                 1.1344,                0.39339,                    0.8,                0.80176,                0.63514,                0.39339,                    0.8,                 0.7964,                0.34101,                  1.038,                 4.9128,                 2.2843,                 1.1941,             0.00040397,             0.00040397,             0.00040397
                     26,                 1.0974,                 2.9186,                 1.2716,                 1.1008,                0.39339,                    0.8,                0.80176,                0.63514,                0.39339,                    0.8,                 0.7964,                0.34101,                  1.038,                 4.9128,                 2.2843,                 1.1941,              0.0004175,              0.0004175,              0.0004175
                     27,                 1.0332,                 3.2021,                 1.2771,                 1.0923,                      1,                0.71194,                0.80171,                0.61432,                      1,                0.71194,                0.80171,                0.36198,                0.97638,                 4.8259,                 2.1602,                 1.1772,             0.00043077,             0.00043077,             0.00043077
                     28,                 1.0385,                 2.5153,                 1.2737,                 1.0988,                      1,                0.71194,                0.80171,                0.61432,                      1,                0.71194,                0.80171,                0.36198,                0.97638,                 4.8259,                 2.1602,                 1.1772,             0.00044377,             0.00044377,             0.00044377
                     29,                 1.0089,                 2.6189,                 1.2811,                 1.1474,                      1,                0.70854,                0.80263,                0.61656,                      1,                0.70854,                0.80263,                 0.4553,                 1.0159,                 4.6449,                 1.9804,                 1.1747,             0.00045651,             0.00045651,             0.00045651
